Community Name,Community Area,Total Population,Racial Demographics - Hispanic Proportion,Racial Demographics - Black Proportion,Racial Demographics - White Proportion,Racial Demographics - Asian Proportion,Racial Demographics - Other or Multiple Races Proportion
Rogers Park,1,53470,0.24,0.24,0.45,0.05,0.03
West Ridge,2,75185,0.2,0.13,0.41,0.21,0.04
Uptown,3,54001,0.16,0.19,0.51,0.11,0.03
Lincoln Square,4,46881,0.18,0.06,0.62,0.1,0.04
North Center,5,35406,0.11,0.09,0.73,0.04,0.03
Lake View,6,102584,0.09,0.03,0.77,0.08,0.03
Lincoln Park,7,65711,0.09,0.04,0.78,0.06,0.03
Near North Side,8,96466,0.09,0.11,0.67,0.1,0.02
Edison Park,9,10856,0.07,0.05,0.84,0.03,0.01
Norwood Park,10,32589,0.11,0,0.83,0.03,0.02
Jefferson Park,11,27934,0.21,0.01,0.67,0.09,0.02
Forest Glen,12,18568,0.13,0.01,0.73,0.1,0.03
North Park,13,13097,0.23,0.02,0.57,0.17,0.02
Albany Park,14,50485,0.47,0.04,0.28,0.18,0.03
Portage Park,15,72581,0.44,0.02,0.47,0.05,0.02
Irving Park,16,55174,0.43,0.03,0.43,0.08,0.03
Dunning,17,43414,0.31,0.02,0.62,0.04,0.01
Montclare,18,7406,0.49,0.04,0.42,0.04,0.01
Belmont Cragin,19,78037,0.77,0.05,0.15,0.02,0.01
Hermosa,20,28720,0.79,0.02,0.15,0.03,0.01
Avondale,21,33327,0.63,0.02,0.3,0.03,0.03
Logan Square,22,77219,0.44,0.06,0.45,0.03,0.02
Humboldt Park,23,44841,0.6,0.27,0.09,0.02,0.02
West Town,24,84660,0.26,0.14,0.53,0.03,0.03
Austin,25,97604,0.17,0.75,0.07,0.01,0.01
West Garfield Park,26,20146,0.02,0.95,0.02,0,0
East Garfield Park,27,21745,0.06,0.89,0.05,0,0.01
Near West Side,28,62655,0.17,0.31,0.37,0.12,0.02
North Lawndale,29,36529,0.22,0.66,0.09,0.02,0.01
South Lawndale,30,64000,0.77,0.15,0.06,0.02,0.01
Lower West Side,31,35783,0.59,0.08,0.11,0.2,0.01
Loop,32,32936,0.23,0.13,0.5,0.12,0.02
Near South Side,33,26324,0.16,0.19,0.44,0.19,0.02
Armour Square,34,9906,0.04,0.16,0.29,0.49,0.03
Douglas,35,28770,0.06,0.5,0.26,0.16,0.03
Oakland,36,5181,0.05,0.75,0.13,0.05,0.02
Fuller Park,37,3220,0.4,0.39,0.21,0,0
Grand Boulevard,38,26631,0.09,0.84,0.05,0.01,0.02
Kenwood,39,12982,0.03,0.77,0.15,0.03,0.03
Washington Park,40,18077,0.02,0.83,0.07,0.06,0.02
Hyde Park,41,28394,0.07,0.39,0.39,0.1,0.04
Woodlawn,42,25743,0.04,0.77,0.12,0.04,0.02
South Shore,43,42198,0.02,0.95,0.02,0,0.02
Chatham,44,35326,0.02,0.86,0.1,0.01,0.01
Avalon Park,45,7033,0.02,0.97,0.01,0,0.01
South Chicago,46,30009,0.15,0.75,0.06,0.03,0.01
Burnside,47,1703,0.36,0.55,0.08,0,0.01
Calumet Heights,48,12664,0.01,0.97,0.01,0,0.01
Roseland,49,41498,0.04,0.93,0.01,0,0.01
Pullman,50,8359,0.01,0.96,0.02,0.01,0.01
South Deering,51,11555,0.28,0.6,0.1,0,0.02
East Side,52,25925,0.62,0.24,0.13,0,0
West Pullman,53,27799,0.13,0.82,0.03,0,0.01
Riverdale,54,6565,0.03,0.96,0,0,0
Hegewisch,55,9745,0.32,0.37,0.3,0,0
Garfield Ridge,56,36806,0.55,0.06,0.38,0.01,0.01
Archer Heights,57,16592,0.66,0.01,0.31,0.02,0
Brighton Park,58,41813,0.77,0.01,0.12,0.08,0.01
McKinley Park,59,13778,0.59,0.01,0.17,0.22,0.02
Bridgeport,60,31893,0.3,0.06,0.3,0.32,0.02
New City,61,42047,0.59,0.24,0.13,0.03,0.01
West Elsdon,62,16218,0.76,0.06,0.16,0.02,0
Gage Park,63,40699,0.86,0.1,0.04,0,0
Clearing,64,28563,0.56,0.01,0.4,0.01,0.01
West Lawn,65,31134,0.82,0.03,0.15,0.01,0
Chicago Lawn,66,48376,0.49,0.44,0.05,0.01,0.02
West Englewood,67,32410,0.15,0.82,0.02,0,0.01
Englewood,68,27383,0.03,0.94,0.01,0,0.02
Greater Grand Crossing,69,33003,0.03,0.95,0.01,0,0.01
Ashburn,70,41782,0.39,0.47,0.12,0.01,0.02
Auburn Gresham,71,46817,0.02,0.96,0.01,0,0.01
Beverly,72,19969,0.06,0.37,0.55,0,0.02
Washington Heights,73,28062,0.01,0.92,0.05,0,0.02
Mount Greenwood,74,16878,0.1,0.14,0.73,0.02,0.01
Morgan Park,75,23900,0.05,0.51,0.41,0.01,0.02
O'Hare,76,10222,0.04,0.49,0.37,0.05,0.05
Edgewater,77,56536,0.16,0.14,0.55,0.12,0.03
